Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average,order
90142812,Casey,3,0,0,0,0.03,Adrenaline
90142824,MMC- Clayton,8,0,0,0.05,0.03,Adrenaline
90142827,Casey,6,0,0,0,0.03,Adrenaline
90142841,Casey,7,0,0,0,0.03,Adrenaline
90142841,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90142861,Casey,1,0,0,0,0.03,Adrenaline
90142863,Casey,1,0,0,0,0.03,Adrenaline
90142876,Casey,1,0,0,0,0.03,Adrenaline
90142879,Casey,1,0,0,0,0.03,Adrenaline
90144220,Casey,4,0,0,0,0.03,Adrenaline
90144405,MMC- Clayton,39,0,0,0.05,0.03,Adrenaline
90144435,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
